星官,Bayer 編號,DEJ2000 (度),Flamsteed,HIP,RAJ2000 (度),Star 1,Star 2,Vmag (視星等),序號,星點,英文星名
斗,,5.532719,,80380,246.111273,,,8.569999695,552,斗增八,
牛宿,ν Cap,-12.75908,8 Cap,100310,305.165901,"8,ν Cap摩羯","8,ν Cap",4.769999981,1213,牛宿增十一,
尚書,,68.768137,15 Dra,80650,246.99589,15 Dra天龍,15 Dra,4.94,53,尚書二,
馬尾,δ Cen,-50.722426,,59196,182.089583,δ Cen半人馬,δ Cen,2.58,3111,馬尾三,
四瀆,,8.037254,17 Mon,32533,101.832627,17 Mon麒麟,17 Mon,4.77,2692,四瀆二,
雲雨,,1.313142,15 Psc,116422,353.869076,15 Psc雙魚,15 Psc,6.46999979,1874,雲雨增五,
天床,,66.376832,,79600,243.630749,,,7.85,62,天床四*,
列肆,,1.215947,21 Oph,82480,252.853869,21 Oph蛇夫,21 Oph,5.510000229,569,列肆增一,
造父,,60.692689,12 Cep,107586,326.8554,12 Cep仙王,12 Cep,5.53000021,1622,造父增四,
昴宿,,24.554511,21 Tau,17579,56.476985,21 Tau金牛,21 Tau,5.76,2194,昴宿三,Asterope
敗瓜,ι Del,11.377676,5 Del,101800,309.454666,"5,ι Del海豚","5,ι Del",5.42,1356,敗瓜四,
諸王,,23.948562,99 Tau,23068,74.452697,99 Tau金牛,99 Tau,5.79,2336,諸王五,
水委,η Phe,-57.46306,,3405,10.838494,η Phe鳳凰,η Phe,4.36,3206,水委三,
天廩,u Tau,6.049991,29 Tau,17563,56.41851,"29,u Tau金牛","29,u Tau",5.340000153,2156,天廩增二,
天倉,,-8.053001,,1499,4.674449,,,6.46999979,2078,天倉增十九,
折威,k Hya,-27.754017,51 Hya,70306,215.774062,"51,k Hya長蛇","51,k Hya",4.78000021,917,折威增二,
長垣,,14.13727,46 Leo,51585,158.049057,46 Leo獅子,46 Leo,5.43,486,長垣一,
天樽,,26.856588,47 Gem,34722,107.846111,47 Gem雙子,47 Gem,5.75,2631,天樽增三,
軍市,ξ1 CMa,-23.418422,4 CMa,31125,97.964027,"4,ξ1 CMa大犬","4,ξ1 CMa",4.34,2717,軍市六,
三角形,κ1 Aps,-73.389591,,76013,232.878423,κ1 Aps天燕,κ1 Aps,5.400000095,3124,三角形增三,
天籥,X Sgr,-27.830788,3 Sgr,87072,266.890103,"3,X Sgr人馬","3,X Sgr",4.53,1122,天籥八,
郎將,,26.794231,,62857,193.256442,,,7.659999847,420,郎將增二,
座旗,ψ5 Aur,43.577427,56 Aur,32480,101.684745,"56,ψ5 Aur御夫","56,ψ5 Aur",5.24,2489,座旗四,
北斗,,54.432679,84 UMa,67231,206.648567,84 UMa大熊,84 UMa,5.679999828,175,輔增二,
杵,,37.748737,1 Lac,109937,333.992403,1 Lac蠍虎,1 Lac,4.14,1570,杵一,
大陵,,50.151466,63 And,10944,35.242534,63 And仙女,63 And,5.570000172,2114,大陵增七,
天高,l Tau,20.418379,106 Tau,23871,76.951658,"106,l Tau金牛","106,l Tau",5.28000021,2329,天高增二,
內階,π1 UMa,65.020907,3 UMa,42438,129.798767,"3,π1 UMa大熊","3,π1 UMa",5.630000114,261,內階增九,
井宿,RT Aur,30.493034,48 Aur,30827,97.142037,"48,RT Aur御夫","48,RT Aur",5.75,2594,井宿增二,
左旗,α Sge,18.01389,5 Sge,96757,295.024133,"5,α Sge天箭","5,α Sge",4.39,1256,左旗一,Sham
天樽,,25.375698,37 Gem,33277,103.827782,37 Gem雙子,37 Gem,5.739999771,2629,天樽增一,
太微左垣,,12.418416,41 Vir,62933,193.457136,41 Vir室女,41 Vir,6.25,411,東次將增一,
虛宿,β Aqr,-5.571172,22 Aqr,106278,322.889725,"22,β Aqr寶瓶","22,β Aqr",2.9,1463,虛宿一,Sadalsuud
左旗,,27.753573,15 Vul,98543,300.275201,15 Vul狐狸,15 Vul,4.659999847,1274,左旗增十,
漸台,β Lyr,33.362667,10 Lyr,92420,282.519978,"10,β Lyr天琴","10,β Lyr",3.52,1303,漸台二,Sheliak
斗宿,,-20.72827,15 Sgr,89439,273.80378,15 Sgr人馬,15 Sgr,5.289999962,1114,斗宿增五,
五諸侯,τ Gem,30.245163,46 Gem,34693,107.784878,"46,τ Gem雙子","46,τ Gem",4.41,2639,五諸侯二,
牛宿,,-27.032977,,99825,303.822462,,,5.730000019,1212,牛宿增十,
小斗,ζ Cha,-80.941258,,46928,143.472404,ζ Cha堰蜓,ζ Cha,5.07,3241,小斗五,
日,,-19.301892,41 Lib,76628,234.727331,41 Lib天秤,41 Lib,5.360000134,1038,日增一,
七公,υ Her,46.036705,6 Her,78592,240.699576,"6,υ Her武仙","6,υ Her",4.71999979,770,七公增四,
瓠瓜,δ Del,15.074581,11 Del,102281,310.864724,"11,δ Del海豚","11,δ Del",4.43,1363,瓠瓜三,
參宿,,2.595806,21 Ori,24817,79.796746,21 Ori獵戶,21 Ori,5.340000153,2520,參宿增八,
天弁,η Sct,-5.846314,,93026,284.265291,η Sct盾牌,η Sct,4.83,1131,天弁五,
扶筐,,57.705102,54 Dra,94490,288.479775,54 Dra天龍,54 Dra,5,1443,扶筐增三,
紫微左垣,η Dra,61.514213,14 Dra,80331,245.997859,"14,η Dra天龍","14,η Dra",2.73,126,三 少宰,
常陳,,40.874662,9 CVn,61692,189.692822,9 CVn獵犬,9 CVn,6.35,441,常陳三,
瓠瓜,,15.838199,,101909,309.770697,,,5.989999771,1371,瓠瓜增六,
貫索,,25.896685,19 Her,79889,244.598568,19 Her武仙,19 Her,6.699999809,755,貫索增九,
天大將軍,ε Tri,33.284135,3 Tri,9570,30.741482,"3,ε Tri三角","3,ε Tri",5.5,2018,天大將軍增五,
畢宿,θ2 Tau,15.870883,78 Tau,20894,67.165587,"78,θ2 Tau金牛","78,θ2 Tau",3.400000095,2307,畢宿增十三,
罰,,-12.74541,11 Sco,79005,241.901732,11 Sco天蠍,11 Sco,5.75,1020,罰二,
十二國,,-17.922894,19 Cap,103226,313.699234,19 Cap摩羯,19 Cap,5.78,1453,越,
右旗,,-0.621233,45 Aql,96807,295.180501,45 Aql天鷹,45 Aql,5.639999866,1248,右旗增五,
左旗,,28.694817,21 Vul,99738,303.560538,21 Vul狐狸,21 Vul,5.190000057,1275,左旗增十一,
天記,q Vel,-42.121942,,50191,153.68398,q Vel船帆,q Vel,3.849999905,2859,天記增二,
貫索,υ CrB,29.150261,18 CrB,79757,244.186614,"18,υ CrB北冕","18,υ CrB",5.800000191,754,貫索增八,
天廄,,41.03537,23 And,1086,3.378502,23 And仙女,23 And,5.710000038,1838,天廄增一,
弧矢,c PuP,-37.968584,,37819,116.313733,c PuP船尾,c PuP,3.62,2751,弧矢三,
勾陳,α UMi,89.26411,1 UMi,11767,37.954515,"1,α UMi小熊","1,α UMi",1.97,16,勾陳一 北極星,Polaris
少微,,24.658465,67 Leo,54487,167.204544,67 Leo獅子,67 Leo,5.699999809,482,少微增六,
鬼宿,,15.216275,,44723,136.690755,,,7.869999886,2811,鬼宿增十八,
胃宿,,31.934219,21 Per,13775,44.322011,21 Per英仙,21 Per,5.099999905,2097,胃宿增三,
九斿,,0.998314,,21515,69.306972,,,5.32,2438,九斿一,
郎位,,28.464352,10 Com,60123,184.960935,10 Com后髮,10 Com,6.639999866,436,郎位增一,
貫索,λ CrB,37.946958,12 CrB,78012,238.948279,"12,λ CrB北冕","12,λ CrB",5.429999828,751,貫索增五,
子,β Col,-35.768309,,27628,87.73997,β Col天鴿,β Col,3.12,2736,子二,Wazn
南門,R Cen,-59.91369,,69754,214.142996,R Cen半人馬,R Cen,7.179999828,872,南門增一,
九卿,,9.539684,33 Vir,62325,191.593935,33 Vir室女,33 Vir,5.650000095,377,九卿增六,
氐宿,,-15.459541,5 Lib,72194,221.49065,5 Lib天秤,5 Lib,6.329999924,937,氐宿增六,
奎宿,,37.724121,45 And,5550,17.792823,45 And仙女,45 And,5.800000191,1911,奎宿增十六,
杠,,76.11506,49 Cas,9763,31.381451,49 Cas仙后,49 Cas,5.22,97,杠三,
羽林軍,,-10.102686,65 Aqr,112161,340.755064,65 Aqr寶瓶,65 Aqr,7.04,1771,羽林軍廿一,
八穀,,58.117365,15 Cam,24836,79.866072,15 Cam鹿豹,15 Cam,6.130000114,286,八穀增十二,
九斿,,-16.934456,58 Eri,22263,71.901216,58 Eri波江,58 Eri,5.49,2444,九斿七,
天關,,16.534148,126 Tau,26777,85.323828,126 Tau金牛,126 Tau,4.840000153,2387,天關增二,
參旗,π1 Ori,10.150833,7 Ori,22845,73.723866,"7,π1 Ori獵戶","7,π1 Ori",4.64,2420,參旗四,
陰德,,73.834484,,51734,158.556007,,,7.57,71,陰德二,
天苑,τ2 Eri,-21.004019,2 Eri,13288,42.759673,"2,τ2 Eri波江","2,τ2 Eri",4.76,2261,天苑九,
螣蛇,ε Cep,57.043587,23 Cep,109857,333.759125,"23,ε Cep仙王","23,ε Cep",4.18,1682,螣蛇九,
八穀,,55.824115,6 Cam,22994,74.206155,6 Cam鹿豹,6 Cam,6.650000095,276,八穀增二,
