HIP,中文星名,英文星名
38538,五諸侯五,
38623,上台增三,
38639,上台增二,
38722,水位增五,
38827,天社增一,
38835,弧矢增十五,
38848,水位增九,
38901,弧矢四,
38962,南河增七,
39023,弧矢增十六▂/弧矢增卅一▂,
39079,南河增十,
39177,水位增七,
39191,爟增二,
39211,南河增九,
39236,水位增八,
39263,爟增一,
39311,南河增八,
39424,爟增三,
39429,弧矢增廿二,Naos
39524,弧矢增十四,
39538,六甲三,
39567,水位三,
39757,弧矢增卅二,
39780,水位增六,
39847,上台增一,
39863,外廚增一,
39874,水位增十一,
39888,爟增四,
39906,弧矢增十三,
39953,天社一,Regor
40007,爟增五,
40023,爟一,
40035,外廚增十四,
40084,外廚增十六,
40167,水位四,Tegmine
40205,外廚增十五▂,
40240,爟四,
40259,外廚增十三,
40505,外廚增十二*,
40526,柳宿增十,
40604,外廚增十一,
40617,柳宿增十一,
40646,內階增五,
40702,小斗增一,
40817,飛魚四,
40843,爟增六,
40875,內階增四,
40881,爟二,
40888,小斗八,
41037,海石一,Avior
41067,外廚增十七,
41075,上台增四,
41117,鬼宿增二,
41163,柳宿增九,
41211,外廚增二,
41307,外廚增三,
41312,飛魚三,
41319,鬼宿增三/鬼宿增十九,
41375,外廚一,
41377,爟三/爟增七,
41389,爟增九,
41400,鬼宿增五,
41404,爟增八,
41574,爟增十,
41578,鬼宿增四,
41704,內階一,Muscida
41816,爟增十一,
41822,鬼宿一,
41904,柳宿增八,
41909,鬼宿二,
42080,內階增八,
42090,軒轅增八,
42119,外廚六*,
42133,鬼宿增一,
42146,外廚增四,
42265,柳宿增七,
42312,天狗一,
42313,柳宿一,
42353,柳宿增六,
42402,柳宿二,
42438,內階增九,
42472,軒轅增十,
42503,軒轅增九,
42509,外廚增八,
42515,天狗四,
42516,積屍增一,
42527,內階增七,
42556,積屍增三,
42570,天社二,
42578,積屍增二,
42662,外廚增十,
42795,鬼宿增六,
42799,柳宿三,
42806,鬼宿三,Asellus Borealis
42811,外廚五*,
42828,天狗五,
42829,天社增四*,
42835,外廚二/外廚增五▂,
42884,天狗二,
42911,鬼宿四,Asellus Australis
42913,天社三,
42917,柳宿增五,
42931,柳宿增一,
42954,軒轅增十一,
43012,小斗七,
43023,天社增二,
43067,外廚增九,
43103,軒轅增廿二,
43109,柳宿五,
43121,鬼宿增七,
43234,柳宿四,
43305,外廚三,
43409,天狗六,
43454,鬼宿增八,
43463,鬼宿增九,
43488,外廚四*,
43496,外廚增六,
43531,上台增五,
43575,軒轅增廿一,
43584,軒轅增七,
43587,軒轅增十九/軒轅增廿,
43622,天狗三*,
43644,內階五,
43721,軒轅增十二,
43783,海石增二,
43813,柳宿六,
43822,外廚增七,
43825,天狗七,
43834,軒轅增十八,
43841,內階增六*,
43851,柳宿增四/柳宿增十二▂,
43903,內階三,
43932,軒轅增六,
43970,鬼宿增十,
44001,鬼宿增十一,
44031,軒轅增十三,
44066,柳宿增三/柳宿增十三▂,Acubens
44098,天社增五*,
44127,三台一 上台一,Talitha
44152,天社四*,
44154,軒轅增五,
44248,軒轅一,
44307,軒轅增四,
44336,鬼宿增十二,
44342,軒轅增十七,
44382,飛魚一,
44390,三師一,
44405,軒轅增廿三,
44471,三台二 上台二,
44511,天社增三,
44512,軒轅增十六,
44637,鬼宿增十三,
44659,柳宿七,
44700,軒轅二,
44723,鬼宿增十八*,
44798,柳宿增二,
44816,天記,Suhail
44818,軒轅增十四,
44838,鬼宿增十七*,
44857,三師三,
44883,星宿增四,
44892,軒轅增十五,
44901,文昌五,
44918,鬼宿增十四,
44946,軒轅增廿四,
44961,星宿增三,
45033,軒轅增五八,
45038,三師增一,
45075,內階增十,
45080,海石增一,
45101,海石增三,
45184,星宿增五,
45238,南船五,Miaplacidus
45290,上台增六,
45333,內階二,
