color_index,DEC,HIP no.,RA,mag,恆星視差
A3V,-15.8208202421,113136,343.6625521428,3.27,0.066
A0V,-70.3867448326,42425,129.771506808,5.19,0.013
K4III,-11.2665263187,4371,14.0062087359,5.35,1.505
A1V,-15.6763591895,7345,23.6574115361,5.62,0.066
B2.5V,-64.0030707791,60009,184.6093689573,4.06,-0.168
K5/M0III,-30.2530249636,88060,269.7720060626,5,1.654
G9III,-0.823748681,56647,174.2372109,4.3,0.983
A2III,-71.9927929638,51438,157.5838658654,4.72,0.042
K0III,69.3229525061,56583,174.011651252,5.19,0.974
K4III,71.8239012143,74793,229.2745357033,5.02,1.369
K0III,-41.8682880833,98032,298.8154058171,4.12,1.063
M2III,-43.185878228,91494,279.8964984858,5.42,1.654
B2/B3V,-19.9669743414,29941,94.5572004878,5.51,-0.163
B9.5V,-26.6461547518,72378,221.9898229887,5.76,-0.007
K4IIIp,34.4758921001,25541,81.9120263643,5.08,1.4
K1IV,16.1242962149,102532,311.6645928514,4.27,1.042
K2III,56.5822500405,53043,162.7958731609,5.66,1.132
K2Ibvar,9.8750112642,107315,326.0464921426,2.38,1.52
B7III,-44.1625756132,85162,261.0545292833,5.1,-0.052
B8II,1.7668684625,38373,117.924952689,5.12,-0.116
A1Vnn,10.7682518529,37921,116.5675031438,5.25,0.018
K1III,25.1086350729,74096,227.1481820532,5.82,1.233
A1Vs,43.1899560014,53295,163.4947576226,4.66,-0.039
M1III,-48.7211440633,33357,104.0666271842,4.94,1.668
Am,-56.3699694082,30342,95.7326095809,5.6,0.242
B2IV,41.6038759401,113281,344.098459202,5.6,-0.149
G5III:,16.3881277558,73166,224.2986573534,5.72,0.951
F2III,61.9622678414,43644,133.3439896053,5.72,0.305
K0IIIp,41.4619944618,25816,82.7027131791,5.99,1.112
A0p,-46.8496720069,35029,108.6917377181,5.72,-0.109
A5III,-57.9123496975,79689,243.9574909755,5.61,0.137
K3III,41.7812300147,32844,102.6914351187,4.99,1.256
K0III,34.5424097046,11840,38.2192471333,5.84,1.083
K1III...,-3.4463937087,25708,82.3486885968,5.8,1.149
G8II-IIIvar,73.0400398737,7650,24.6288228657,5.28,0.972
K0III,71.2971919103,92782,283.5993944657,4.82,1.151
A2V,-65.7046639027,51194,156.8553477693,6,0.091
A7IV,32.9104299141,43932,134.2358218469,5.44,0.181
Am,-67.5221053315,60320,185.5305788746,5.15,0.195
F0V,-13.0565120107,6748,21.7148546032,5.51,0.321
A0V,-22.4274119262,29150,92.2411036867,5.49,-0.01
G2IV,-7.0253408558,7276,23.4284875019,5.75,0.639
A5Vn,-0.7871841021,60030,184.6679899856,5.9,0.168
F9V,82.5119441816,72573,222.5850944809,5.63,0.671
A0V,-66.7018773718,46460,142.127279212,5.9,0.012
G7III,23.2633410839,28734,91.0300620213,4.16,0.835
B3III,-38.2606520293,37329,114.9494784201,5.76,-0.071
B5V,-24.6122299814,18216,58.4279284297,4.64,-0.136
M2III,4.0897339594,14135,45.5698840119,2.54,1.63
K0,24.1677782961,10296,33.1564117314,5.96,1.366
K1V+...,-24.7672670859,2941,9.3362527425,5.57,0.715
K1III:,15.3360080932,33914,105.5728886722,5.78,1.14
G8III,31.1581386224,85715,262.7307236715,5.63,0.96
A3V,1.5445318522,68520,210.4116388114,4.23,0.121
G0III-IV,6.4188092743,43109,131.693794202,3.38,0.685
M2III,5.9585733006,48519,148.4288549842,5.9,1.662
A2Vnn,36.4196189154,42090,128.6828507324,5.76,0.051
B0.5Ib/II,-20.3879739781,89440,273.8040455282,5.96,-0.023
G8III,36.4662839322,89008,272.495815933,5.57,0.915
B2IVe,-70.5384967018,44626,136.4098934131,4.66,-0.149
B9V,-57.9343179726,79153,242.3272869828,5.57,-0.024
F5V,25.3451115527,109176,331.7527753228,3.77,0.435
B7III,28.6074500086,25428,81.5729724915,1.65,-0.13
A0V,38.2835886159,107253,325.8568861513,5.69,-0.01
K5III,60.6405688735,99663,303.365065288,5.81,1.476
B9.5Vn,44.7132429128,4675,15.0148302861,5.69,-0.01
K3III+...,-24.2514705551,72488,222.3281046844,5.68,1.275
B8/B9V,-39.1992625069,102497,311.5835990112,5.48,-0.078
K5III,5.502861541,104031,316.1443833416,5.63,1.65
B1V + B2V,-26.1141052896,78265,239.7129703475,2.89,-0.18
F4IIIp (Sr),-8.7943170124,21986,70.8947701811,5.98,0.645
M3IIIvar,17.8931247876,2219,7.0121458309,5.01,1.584
A0V SB,53.6947600842,58001,178.4576977219,2.41,0.044
K3IIvar,33.1660903075,23015,74.24841152,2.69,1.49
A5m,1.0761314978,117491,357.3644814323,5.77,0.167
A4IV,26.8565875364,34722,107.8461107489,5.75,0.13
K0III,-29.7664919013,21248,68.3773027201,4.49,0.972
A0III,-52.2837464627,82902,254.1198662211,5.94,-0.069
A4V,51.9585149767,75043,230.0214646031,5.65,0.122
A1V,-32.3460734313,111188,337.8763780925,4.29,0.011
F0III,28.6285948116,93843,286.6572271104,5.53,0.296
K5III,27.6247409318,64022,196.7947073289,4.8,1.482
G7III,6.3131564036,86575,265.3846789872,5.97,1.271
B8Ib/II,-60.6737990715,85169,261.0783197005,5.76,-0.067
M2III,49.1215935541,89981,275.3860967489,5.02,1.619
B7IIIp,-29.3574490475,4577,14.6515037581,4.3,-0.154
K1III,33.5069286805,53426,163.9349351156,5.02,1.101
G8III,-32.5396282656,113246,343.9870813034,4.2,0.952
K5III,-1.0093392725,99631,303.3078414073,5.44,1.43
M2III,34.6643992847,67605,207.7883987609,5.89,1.635
A7IV,7.5753537624,5737,18.432857204,5.21,0.32
K0III,36.0420855635,58654,180.414471242,5.59,1.019
M0III,72.407232549,40889,125.1680021347,6,1.537
A0sp...,62.0470759365,75256,230.6552402826,5.99,-0.033
K0III,33.9702560995,102488,311.5528447273,2.48,1.021
G3IV,-50.8002938409,12653,40.6394436627,5.4,0.561
K1III,-14.5841398517,84402,258.8345172335,5.98,1.096
G7III,-63.3863913233,20384,65.472194659,5.24,0.955
F3IV/V,-37.1073570042,93174,284.6807384525,4.83,0.396
A0p...,29.8510614391,78493,240.3606872596,4.98,-0.05
G8III,-30.0018302498,9440,30.311346377,5.34,0.883
B5Ib,2.9315676108,88192,270.1613156578,3.93,0.029
F5IV,-30.9067159494,79980,244.8864111224,5.53,0.466
F4V...,18.1939999479,18735,60.2031891659,5.89,0.319
