key_hip,DEC,HIP,RA,Stellar_parallax,color_index,mag
85470_hip,-52.29716773,85470,261.9900037,1.169,K2III,5.72
11767_hip,89.26410951,11767,37.95451535,0.636,F7:Ib-IIv SB,1.97
63945_hip,-48.46328926,63945,196.569601,-0.148,B5V,4.71
26241_hip,-5.909901347,26241,83.8582603,-0.21,O9III,2.75
66849_hip,-58.78707818,66849,205.5045304,-0.029,B9IV,5.38
43783_hip,-60.64460928,43783,133.7617838,-0.104,B8III,3.84
31079_hip,-51.82595295,31079,97.82631681,0.534,F8V,5.58
50336_hip,25.37070547,50336,154.1739857,1.206,K2III:,5.84
88745_hip,30.56213958,88745,271.7564134,0.528,F7V,5.05
15382_hip,-22.51111801,15382,49.59209811,0.904,K0III,4.86
44256_hip,-60.96382829,44256,135.1905905,1.211,G8II,5.8
94068_hip,6.07320675,94068,287.249634,0.346,F0III-IV,5.23
45101_hip,-62.31697715,45101,137.8196671,-0.18,B3IV,3.96
111674_hip,51.54512282,111674,339.343407,0.254,A8IV,4.64
18957_hip,5.435624415,18957,60.93585228,-0.08,B3V,5.32
78877_hip,-23.60631525,78877,241.5265717,-0.071,B8V,5.9
74596_hip,29.16429476,74596,228.6214934,0.062,A2V,5.28
55581_hip,-56.77935463,55581,170.7838818,-0.004,A4:p,5.82
45902_hip,-25.96543878,45902,140.3732952,1.633,M0III,4.71
2568_hip,20.29431643,2568,8.147857983,1.069,K0III,5.38
25708_hip,-3.446393709,25708,82.3486886,1.149,K1III...,5.8
24203_hip,1.037027622,24203,77.93896231,0.662,F5,5.88
28413_hip,-3.074253536,28413,90.0139559,1.202,K2IIIvar,4.53
88290_hip,1.30507628,88290,270.4383272,0.046,A2Vn,4.42
96977_hip,32.42674142,96977,295.6858584,0.118,A5III,5.93
45856_hip,-62.40463244,45856,140.236718,0.926,G6III,4.79
33202_hip,13.17782721,33202,103.6609829,0.321,F0Vp,4.73
94013_hip,52.42573068,94013,287.1074523,1.086,K1IV,5.88
103956_hip,53.28590052,103956,315.9484415,1.001,K0III,5.93
59504_hip,77.61624147,59504,183.0497577,0.358,A5m,5.14
81754_hip,-19.92437683,81754,250.4737148,0.436,F3V,5.55
86036_hip,61.87455394,86036,263.7483085,0.602,G0V,5.23
93429_hip,-5.739114886,93429,285.4201134,1.079,K1IIIvar,4.02
1354_hip,61.53318556,1354,4.237681175,0.898,G8III,5.74
32753_hip,16.20288781,32753,102.4576512,-0.136,B7III,5.87
71860_hip,-47.38820014,71860,220.4823151,-0.154,B1.5III,2.3
46897_hip,-22.8638835,46897,143.3585473,0.023,B9.5V,5.92
31832_hip,42.48887688,31832,99.83260944,1.236,K3III,4.8
28984_hip,-21.81229937,28984,91.73963818,1.584,M3II/III,5.74
103127_hip,-39.8098646,103127,313.4174407,1.318,K2III,5.34
21297_hip,-8.97025763,21297,68.54904299,1.465,K4III,5.24
23068_hip,23.94856215,23068,74.45269677,1.109,G8III:,5.79
88_hip,-48.8098756,88,0.269093442,0.911,G8III,5.71
35180_hip,-15.58568903,35180,109.0606397,0.079,A1V,5.46
90930_hip,-73.96559585,90930,278.2306002,0.992,K0III,5.88
46733_hip,63.06186073,46733,142.8821173,0.36,F0IV,3.65
78265_hip,-26.11410529,78265,239.7129703,-0.18,B1V + B2V,2.89
83613_hip,12.74082791,83613,256.3445437,0.125,A4IV,4.89
108917_hip,64.62797127,108917,330.9477243,0.379,Am,4.26
32855_hip,-34.36731852,32855,102.7181354,1.379,K2/K3III,4.99
64078_hip,-10.74040808,64078,196.9742184,1.138,K2III,5.15
69713_hip,51.36723132,69713,214.0413724,0.236,A9V,4.75
76996_hip,-84.46527293,76996,235.8205393,0.118,A2V,5.57
29678_hip,13.8510985,29678,93.78529977,-0.231,B1V,5.91
114132_hip,-38.89229267,114132,346.7234375,0.006,A0V,5.62
19343_hip,47.71251275,19343,62.1653782,-0.025,B3Ve,3.96
82171_hip,-58.34144117,82171,251.831907,-0.096,B0Iab,5.55
65790_hip,10.81830976,65790,202.3041683,1.052,K0III,5.65
65109_hip,-36.71229493,65109,200.14924,0.068,A2V,2.75
76952_hip,26.29563742,76952,235.6856876,0.02,A1Vs,3.81
69427_hip,-10.2737018,69427,213.2239407,1.323,K3III,4.18
82504_hip,24.65643288,82504,252.9385915,1.246,K2II-III,5.03
35083_hip,-30.68644675,35083,108.8377976,-0.155,B2V,5.36
80628_hip,-8.371731175,80628,246.9507804,0.185,A3m,4.62
75944_hip,-16.6094644,75944,232.6683422,1.056,K0III,5.82
55779_hip,-63.97247496,55779,171.4297759,0.495,F7V,5.18
98920_hip,19.99107063,98920,301.2895567,1.058,K2III,5.09
29388_hip,48.71098893,29388,92.90246332,0.1,A3V+...,5.78
26063_hip,-1.156072811,26063,83.38102748,-0.175,B1V,5.36
59196_hip,-50.72242559,59196,182.0895826,-0.128,B2IVne,2.58
81292_hip,52.92442209,81292,249.0571672,-0.027,B9V,5.07
63121_hip,38.31491242,63121,194.0018843,0.337,F0V,5.61
56970_hip,-53.96860677,56970,175.1770062,1.67,M1III,5.95
70363_hip,-53.17623291,70363,215.952423,1.099,K1III,5.99
68079_hip,-46.59294832,68079,209.0823988,1.14,K0IV,5.82
91315_hip,62.52659062,91315,279.3895858,-0.045,A0V,5.74
110273_hip,-7.821102007,110273,335.0496523,-0.048,B8IIIMNp...,5.35
32439_hip,79.56481097,32439,101.5589609,0.525,F8V,5.44
102891_hip,-12.54490572,102891,312.6740732,1.075,K1III,5.87
60979_hip,-41.73590066,60979,187.4911964,1.515,M2II/III,6
10340_hip,44.23165196,10340,33.30551686,1.476,K4III,4.84
2497_hip,52.8395265,2497,7.921489705,1.163,K2III,5.59
96275_hip,19.77340282,96275,293.6454012,-0.093,B8IIIn,5
43923_hip,45.631646,43923,134.2081372,1.125,K1IV,5.72
16591_hip,39.8994785,16591,53.39598063,0.139,A5m,5.79
106393_hip,49.97762947,106393,323.2358002,-0.042,A0V,5.77
62131_hip,-28.32395681,62131,191.0022114,1.346,K3III,5.46
89925_hip,29.85892536,89925,275.2373746,0.231,A5m,5.61
22220_hip,40.31259017,22220,71.68532772,0.934,G9III,5.99
58082_hip,-25.71388748,58082,178.6772478,0.883,G8III,5.26
37915_hip,-37.93367001,37915,116.5439346,-0.111,B5V,5.87
43550_hip,42.00273476,43550,133.0417708,1.251,K0III,5.98
93825_hip,-37.06343689,93825,286.6046268,0.523,F7IV-V,4.23
97649_hip,8.868321984,97649,297.6958292,0.221,A7IV-V,0.76
12828_hip,10.1141459,12828,41.23559307,0.311,F1III-IV,4.27
38373_hip,1.766868463,38373,117.9249527,-0.116,B8II,5.12
75308_hip,-60.65717607,75308,230.7937661,0.489,F7V,5.65
17309_hip,19.70025375,17309,55.57895166,-0.016,B9Vn,5.68
91973_hip,37.59461485,91973,281.2008499,0.285,F0IVvar,5.73
50564_hip,19.47091417,50564,154.9340331,0.452,F6IV,4.78
58587_hip,-19.65898222,58587,180.2131649,-0.192,B2IV,5.28
78400_hip,-16.5333505,78400,240.0816314,0.517,F7V,5.47
98609_hip,24.80042345,98609,300.436296,-0.134,B4V,5.88
8544_hip,22.27533825,8544,27.53571352,0.743,K1III+...,5.83
20711_hip,22.81358255,20711,66.57693136,0.263,A8Vn,4.28
17798_hip,-20.90297667,17798,57.14876826,1.602,K5III,5.81
95619_hip,-29.74322525,95619,291.7353418,-0.014,B8/B9V,5.66
33152_hip,-24.18421076,33152,103.533136,1.74,K3Iab,3.89
88635_hip,-30.42409129,88635,271.4520287,0.981,K0III,2.98
43932_hip,32.91042991,43932,134.2358218,0.181,A7IV,5.44
34819_hip,24.12859368,34819,108.1099076,0.397,F5IV,5.85
109474_hip,70.13257265,109474,332.6616294,0.391,F2V,5.52
106642_hip,45.37459133,106642,324.0103986,1.341,M4IIIe-M6e,5.96
102950_hip,-51.60817895,102950,312.8752071,1.125,K1II/III,5.06
37710_hip,-36.06250465,37710,116.0403586,0.32,F0IV,5.8
20252_hip,34.56672527,20252,65.10265987,0.95,G8III,4.93
72438_hip,-66.5935632,72438,222.1856258,-0.106,B2.5V,5.91
94114_hip,-37.90447444,94114,287.3680904,0.042,A0/A1V,4.11
5493_hip,42.08147491,5493,17.57808507,0.603,F8V,5.67
55203_hip,31.52917,55203,169.54542,0.606,G0V,3.79
101123_hip,-18.58317785,101123,307.4746149,0.062,A1V,5.94
38159_hip,-46.85771739,38159,117.3035982,-0.142,B1.5IV,5.82
42535_hip,-53.0153978,42535,130.0727674,-0.125,B7Vn,5.56
75695_hip,29.10570271,75695,231.9572117,0.319,F0p,3.66
94703_hip,21.3904279,94703,289.0543335,-0.058,B4IV,4.76
93667_hip,-31.04707914,93667,286.1044046,0.026,A0V,5.49
96757_hip,18.01389046,96757,295.0241325,0.777,G0II,4.39
104887_hip,38.045317,104887,318.6978817,0.393,F1IV,3.74
73415_hip,-77.16055017,73415,225.0470959,1.052,G8II,5.92
74380_hip,-48.74368674,74380,227.9903253,0.144,A3IV,5.7
74449_hip,-44.50041361,74449,228.2066166,-0.177,B3IV,4.83
48402_hip,54.06433236,48402,148.0264833,0.038,A3IV,4.55
19511_hip,-8.819814067,19511,62.69902023,1.057,G9III:,5.7
91989_hip,-39.68618821,91989,281.2381516,0.85,K1/K2III+..,5.4
82611_hip,47.41672553,82611,253.3231538,1.325,K2III,5.99
10513_hip,-67.7463659,10513,33.8692694,1.306,K2III,5.67
56480_hip,-54.26409123,56480,173.6902352,-0.077,B9V,4.62
3675_hip,11.97384928,3675,11.75607711,0.987,G8II,5.51
25041_hip,8.428556201,25041,80.43150113,-0.114,B1V...,5.78
17776_hip,23.4212498,17776,57.08673496,-0.067,B8V,5.44
84979_hip,-70.12320813,84979,260.5244834,-0.042,B8/B9Vn...,5.39
93393_hip,26.29141121,93393,285.3223195,-0.086,B5V,5.69
